"","Time.S","Plate","Size"
"1891",15059.7,"C3",289611
"1892",15896.2,"C3",308096
"1893",16732.6,"C3",329019
"1894",17569.1,"C3",341201
"1895",18405.6,"C3",354276
"1896",19242.1,"C3",363193
"1897",20078.5,"C3",374187
"1898",20915,"C3",381714
"1899",21751.5,"C3",387683
"1900",22588,"C3",398333
"1901",23424.5,"C3",404737
"1902",24260.9,"C3",409796
"1903",25097.4,"C3",414281
"1904",25933.9,"C3",423900
"1905",26770.4,"C3",430625
"1906",27606.8,"C3",434183
"1907",28443.3,"C3",439127
"1908",29279.8,"C3",445250
"1909",30116.3,"C3",449475
"1910",30952.8,"C3",455367
"1911",31789.2,"C3",462223
"1912",32625.7,"C3",462810
"1913",33462.2,"C3",471306
"1914",34298.6,"C3",469833
"1915",35135.1,"C3",472558
"1916",35971.6,"C3",477423
"1917",36808.1,"C3",477359
"1918",37644.5,"C3",481513
"1919",38481,"C3",480614
"1920",39317.5,"C3",482869
"1921",40154,"C3",483870
"1922",40990.4,"C3",484494
"1923",41826.9,"C3",485649
"1924",42663.4,"C3",489061
"1925",43499.9,"C3",491569
"1926",44336.4,"C3",495900
"1927",45172.8,"C3",499013
"1928",46009.3,"C3",504956
"1929",46845.8,"C3",506387
"1930",47682.3,"C3",507792
"1931",48518.8,"C3",511141
"1932",49355.2,"C3",505713
"1933",50191.7,"C3",511569
"1934",51028.2,"C3",508782
"1935",51864.7,"C3",509516
"1936",52701.2,"C3",511843
"1937",53537.6,"C3",514002
"1938",54374.1,"C3",512451
"1939",55210.6,"C3",513375
"1940",56047.1,"C3",512880
"1941",56883.5,"C3",512573
"1942",57720,"C3",517827
"1943",58556.5,"C3",520392
"1944",59393,"C3",517792
"1945",0,"C4",23307
"1946",836.5,"C4",25489
"1947",1673,"C4",28726
"1948",2512.5,"C4",32334
"1949",3349,"C4",37507
"1950",4185.5,"C4",43689
"1951",5022,"C4",50812
"1952",5858.5,"C4",59598
"1953",6694.9,"C4",71175
"1954",7531.4,"C4",84110
"1955",8367.9,"C4",101235
"1956",9204.4,"C4",121497
"1957",10040.8,"C4",143790
"1958",10877.3,"C4",168714
"1959",11713.8,"C4",196587
"1960",12550.3,"C4",221807
"1961",13386.7,"C4",246246
"1962",14223.2,"C4",268926
"1963",15059.7,"C4",290019
"1964",15896.2,"C4",305500
"1965",16732.6,"C4",327967
"1966",17569.1,"C4",336152
"1967",18405.6,"C4",349851
"1968",19242.1,"C4",357486
"1969",20078.5,"C4",369080
"1970",20915,"C4",377411
"1971",21751.5,"C4",384768
"1972",22588,"C4",392903
"1973",23424.5,"C4",400504
"1974",24260.9,"C4",406084
"1975",25097.4,"C4",409963
"1976",25933.9,"C4",417804
"1977",26770.4,"C4",424842
"1978",27606.8,"C4",432876
"1979",28443.3,"C4",435465
"1980",29279.8,"C4",439555
"1981",30116.3,"C4",445720
"1982",30952.8,"C4",451216
"1983",31789.2,"C4",457409
"1984",32625.7,"C4",460799
"1985",33462.2,"C4",465889
"1986",34298.6,"C4",465841
"1987",35135.1,"C4",471086
"1988",35971.6,"C4",471569
"1989",36808.1,"C4",473767
"1990",37644.5,"C4",477130
"1991",38481,"C4",476868
"1992",39317.5,"C4",480379
"1993",40154,"C4",479957
"1994",40990.4,"C4",481620
"1995",41826.9,"C4",477538
"1996",42663.4,"C4",488266
"1997",43499.9,"C4",488711
"1998",44336.4,"C4",488604
"1999",45172.8,"C4",493163
"2000",46009.3,"C4",498194
"2001",46845.8,"C4",501510
"2002",47682.3,"C4",501074
"2003",48518.8,"C4",504867
"2004",49355.2,"C4",503384
"2005",50191.7,"C4",505223
"2006",51028.2,"C4",505109
"2007",51864.7,"C4",507382
"2008",52701.2,"C4",510598
"2009",53537.6,"C4",506745
"2010",54374.1,"C4",508018
"2011",55210.6,"C4",506777
"2012",56047.1,"C4",508865
"2013",56883.5,"C4",508173
"2014",57720,"C4",510041
"2015",58556.5,"C4",513886
"2016",59393,"C4",514690
"2593",0,"D1",25249
"2594",836.5,"D1",27715
"2595",1673,"D1",30962
"2596",2512.5,"D1",35048
"2597",3349,"D1",40685
"2598",4185.5,"D1",46875
"2599",5022,"D1",54344
"2600",5858.5,"D1",63395
"2601",6694.9,"D1",76039
"2602",7531.4,"D1",88897
"2603",8367.9,"D1",106978
"2604",9204.4,"D1",128824
"2605",10040.8,"D1",152940
"2606",10877.3,"D1",179961
"2607",11713.8,"D1",209013
"2608",12550.3,"D1",237752
"2609",13386.7,"D1",263875
"2610",14223.2,"D1",289923
"2611",15059.7,"D1",309135
"2612",15896.2,"D1",325836
"2613",16732.6,"D1",351459
"2614",17569.1,"D1",361084
"2615",18405.6,"D1",373132
"2616",19242.1,"D1",382085
"2617",20078.5,"D1",392663
"2618",20915,"D1",400572
"2619",21751.5,"D1",408900
"2620",22588,"D1",418855
"2621",23424.5,"D1",424119
"2622",24260.9,"D1",430102
"2623",25097.4,"D1",431314
"2624",25933.9,"D1",441368
"2625",26770.4,"D1",448896
"2626",27606.8,"D1",453999
"2627",28443.3,"D1",457093
"2628",29279.8,"D1",463203
"2629",30116.3,"D1",468726
"2630",30952.8,"D1",473933
"2631",31789.2,"D1",474892
"2632",32625.7,"D1",478003
"2633",33462.2,"D1",482996
"2634",34298.6,"D1",482590
"2635",35135.1,"D1",488997
"2636",35971.6,"D1",488845
"2637",36808.1,"D1",487031
"2638",37644.5,"D1",491442
"2639",38481,"D1",488912
"2640",39317.5,"D1",489472
"2641",40154,"D1",493226
"2642",40990.4,"D1",491422
"2643",41826.9,"D1",488586
"2644",42663.4,"D1",497961
"2645",43499.9,"D1",496325
"2646",44336.4,"D1",499442
"2647",45172.8,"D1",501437
"2648",46009.3,"D1",507045
"2649",46845.8,"D1",511055
"2650",47682.3,"D1",512182
